용어 예문
스크럼 |애자일 방법론 ① : 스크럼(scrum)                         최신조직문화리더십성과관리직원몰입기업사례tools서비스 소개목표설정피드백애자일 성과관리비전수립조직문화 개선조직문화 진단  검색 HR블레틴 HR블레틴 최신조직문화리더십성과관리직원몰입기업사례tools서비스 소개목표설정피드백애자일 성과관리비전수립조직문화 개선조직문화 진단검색 Sign inWelcome! Log into your accountyour usernameyour password Forgot your password? Get helpPassword recoveryRecover your passwordyour email A password will be e-mailed to you|
스크럼 |스프린트가 끝나면 스프린트 리뷰를 하며, 회의 참가자는 팀원, 제품 책임자, 스크럼 마스터뿐만 아니라 고객, 사용자, 경영진, 이해관계자 등 관심이 있는 누구나가 될 수 있다|
스크럼 |스타트업이 일하는 방식이 널리 퍼지면서, 스크럼(Scrum)이라는 *애자일(Agile) 업무 진행 방식도 널리 알려졌습니다|
스크럼 |데일리 스크럼은 간단하기 때문에 다루기 쉬운 주제다|
스크럼 |데일리 스크럼의 일반적인 규칙과 필요성데일리 스크럼의 일반적인 규칙정해진 시간은 없다|
스크럼 |그러므로 일을 잘 나누는 것이 중요한 것이 아니라 계속해서 서로를 체크하고 조율할 수 있는 데일리 스크럼을 통해 불확실성을 줄일 수 있다|
스크럼 |데일리 스크럼의 장점과 궁극적인 목적데일리 스크럼의 장점데일리 스크럼을 하면 무슨 장점이 있는 거지? 굳이 얼굴을 보면서 해야하나?    메일이나 스프레드시트를 사용하면 되지 않을까아니면 일주일에 한 번씩 워드에 적어서 팀 전체에 공유하면 되지 않을까문자/전화 커뮤니케이션 VS 음성 + 얼굴 커뮤니케이션    문자/전화 커뮤니케이션        사람들이 기본적으로 문자/전화 커뮤니케이션은 인류의 역사에서 짧은 시간동안 이루어진 것이다|
스크럼 |얼굴을 보면서 하는 데일리 스크럼의 장점애자일에서는 협력을 중요시하는데 이를 위해서는 협력이 잘 되는 구조가 필요하다|
스크럼 |또한, 데일리 스크럼은 일종의 리츄얼(Ritual)이다|
스크럼 |사람들이 데일리 스크럼에 대해 생각하는 오해, 함정(데일리 스크럼 == 정보 전달을 위한 회의)|
스크럼 |데일리 스크럼에는 사회적인 자본(Social Capital) 즉, 서로 간의 네트워크와 신뢰를 키우는 것이 포함되어 있다|
스크럼 |데일리 스크럼의 궁극적인 목적데일리 스크럼을 할 때 잘 안되는 경우    정보 전달로만 데일리 스크럼을 다룬다|
스크럼 |예를 들어, ‘나 데일리 스크럼이라는 거 알아요|
스크럼 |’이런 식으로 데일리 스크럼이 진행되면 그냥 하면서 흐지부지된다|
스크럼 |데일리 스크럼을 성공적으로 하는 경우예를 들어, ‘아 우리 팀이 좀 소통이 부족하다는 걱정이 있어요|
스크럼 |즉 그 효과를 가져오기 위해서 우리는 어떻게 해야되는가를 고민해야 하는 것이지, 데일리 스크럼을 도입하기 위해서 우리가 어떻게 해야되는지를 고민해선 안된다|
